No.,Time,Source,Destination,Protocol,Classification,Length,Info
201,50.301005,2607:f8b0:400b:802::2003,2605:b100:10b:a167:e022:133f:fb63:a03e,TCP,Benign,74,443  >  58030 [ACK] Seq=1 Ack=3 Win=40960 Len=0
202,50.313053,2607:f8b0:400b:802::2003,2605:b100:10b:a167:e022:133f:fb63:a03e,TCP,Benign,74,"443  >  58030 [FIN, ACK] Seq=1 Ack=3 Win=40960 Len=0"
203,50.313053,64:ff9b::acd9:a503,2605:b100:10b:a167:e022:133f:fb63:a03e,TCP,Benign,86,"443  >  58084 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM WS=256"
204,50.313113,2605:b100:10b:a167:e022:133f:fb63:a03e,2607:f8b0:400b:802::2003,TCP,Benign,74,58030  >  443 [ACK] Seq=3 Ack=2 Win=515 Len=0
205,50.313265,2605:b100:10b:a167:e022:133f:fb63:a03e,64:ff9b::acd9:a503,TCP,Benign,74,58084  >  443 [ACK] Seq=1 Ack=1 Win=131840 Len=0
206,50.313914,2605:b100:10b:a167:e022:133f:fb63:a03e,64:ff9b::acd9:a503,TLSv1.3,Benign,675,Client Hello (SNI=beacons3.gvt2.com)
207,50.34151,2605:b100:10b:a167:e022:133f:fb63:a03e,64:ff9b::acd9:a503,QUIC,Threat,99,"Handshake, DCID=fde3eb1980374dd5"
208,50.353305,64:ff9b::acd9:a503,2605:b100:10b:a167:e022:133f:fb63:a03e,TCP,Benign,74,443  >  58084 [ACK] Seq=1 Ack=602 Win=10484992 Len=0
209,50.373278,64:ff9b::acd9:a503,2605:b100:10b:a167:e022:133f:fb63:a03e,QUIC,Threat,1292,"Handshake, SCID=fde3eb1980374dd5"
210,50.373278,64:ff9b::acd9:a503,2605:b100:10b:a167:e022:133f:fb63:a03e,QUIC,Threat,172,Protected Payload (KP0)
211,50.373707,2605:b100:10b:a167:e022:133f:fb63:a03e,64:ff9b::acd9:a503,QUIC,Threat,103,"Handshake, DCID=fde3eb1980374dd5"
212,50.374203,2605:b100:10b:a167:e022:133f:fb63:a03e,64:ff9b::acd9:a503,QUIC,Threat,103,"Handshake, DCID=fde3eb1980374dd5"
213,50.378689,64:ff9b::acd9:a503,2605:b100:10b:a167:e022:133f:fb63:a03e,TLSv1.3,Benign,1464,"Server Hello, Change Cipher Spec"
992,69.314989,2605:b100:10b:a167:e022:133f:fb63:a03e,2607:f8b0:400b:803::2004,QUIC,Threat,94,"Protected Payload (KP0), DCID=e9ad21b0b4cbad9a"
993,69.316106,2607:f8b0:400b:803::2004,2605:b100:10b:a167:e022:133f:fb63:a03e,QUIC,Threat,1292,Protected Payload (KP0)
994,69.316106,2607:f8b0:400b:803::2004,2605:b100:10b:a167:e022:133f:fb63:a03e,QUIC,Threat,1292,Protected Payload (KP0)
995,69.316106,2607:f8b0:400b:803::2004,2605:b100:10b:a167:e022:133f:fb63:a03e,QUIC,Threat,1292,Protected Payload (KP0)
996,69.316106,2607:f8b0:400b:803::2004,2605:b100:10b:a167:e022:133f:fb63:a03e,QUIC,Threat,1292,Protected Payload (KP0)
997,69.316106,2607:f8b0:400b:803::2004,2605:b100:10b:a167:e022:133f:fb63:a03e,QUIC,Threat,1292,Protected Payload (KP0)
998,69.316106,2607:f8b0:400b:803::2004,2605:b100:10b:a167:e022:133f:fb63:a03e,QUIC,Threat,1292,Protected Payload (KP0)
999,69.316106,2607:f8b0:400b:803::2004,2605:b100:10b:a167:e022:133f:fb63:a03e,QUIC,Threat,1292,Protected Payload (KP0)
1000,69.316106,2607:f8b0:400b:803::2004,2605:b100:10b:a167:e022:133f:fb63:a03e,QUIC,Threat,1292,Protected Payload (KP0)
1001,69.316429,2605:b100:10b:a167:e022:133f:fb63:a03e,2607:f8b0:400b:803::2004,QUIC,Threat,94,"Protected Payload (KP0), DCID=e9ad21b0b4cbad9a"
1002,69.320625,2607:f8b0:400b:803::2004,2605:b100:10b:a167:e022:133f:fb63:a03e,QUIC,Threat,1292,Protected Payload (KP0)
1003,69.320625,2607:f8b0:400b:803::2004,2605:b100:10b:a167:e022:133f:fb63:a03e,QUIC,Threat,1292,Protected Payload (KP0)
1004,69.320625,2607:f8b0:400b:803::2004,2605:b100:10b:a167:e022:133f:fb63:a03e,QUIC,Threat,1292,Protected Payload (KP0)
1005,69.320625,2607:f8b0:400b:803::2004,2605:b100:10b:a167:e022:133f:fb63:a03e,QUIC,Threat,1292,Protected Payload (KP0)
1006,69.320625,2607:f8b0:400b:803::2004,2605:b100:10b:a167:e022:133f:fb63:a03e,QUIC,Threat,1292,Protected Payload (KP0)
1007,69.320625,2607:f8b0:400b:803::2004,2605:b100:10b:a167:e022:133f:fb63:a03e,QUIC,Threat,1292,Protected Payload (KP0)
1008,69.320625,2607:f8b0:400b:803::2004,2605:b100:10b:a167:e022:133f:fb63:a03e,QUIC,Threat,1292,Protected Payload (KP0)
1009,69.320625,2607:f8b0:400b:803::2004,2605:b100:10b:a167:e022:133f:fb63:a03e,QUIC,Threat,1021,Protected Payload (KP0)
1010,69.330252,2607:f8b0:400b:803::2004,2605:b100:10b:a167:e022:133f:fb63:a03e,QUIC,Threat,1285,Protected Payload (KP0)
1011,69.330252,2607:f8b0:400b:803::2004,2605:b100:10b:a167:e022:133f:fb63:a03e,QUIC,Threat,1292,Protected Payload (KP0)
1012,69.330252,2607:f8b0:400b:803::2004,2605:b100:10b:a167:e022:133f:fb63:a03e,QUIC,Threat,1292,Protected Payload (KP0)
1013,69.330252,2607:f8b0:400b:803::2004,2605:b100:10b:a167:e022:133f:fb63:a03e,QUIC,Threat,1292,Protected Payload (KP0)
1014,69.330561,2605:b100:10b:a167:e022:133f:fb63:a03e,2607:f8b0:400b:803::2004,QUIC,Threat,94,"Protected Payload (KP0), DCID=e9ad21b0b4cbad9a"
1015,69.334632,2607:f8b0:400b:803::2004,2605:b100:10b:a167:e022:133f:fb63:a03e,QUIC,Threat,1292,Protected Payload (KP0)
1016,69.334632,2607:f8b0:400b:803::2004,2605:b100:10b:a167:e022:133f:fb63:a03e,QUIC,Threat,1292,Protected Payload (KP0)
1017,69.334632,2607:f8b0:400b:803::2004,2605:b100:10b:a167:e022:133f:fb63:a03e,QUIC,Threat,1292,Protected Payload (KP0)
1018,69.334632,2607:f8b0:400b:803::2004,2605:b100:10b:a167:e022:133f:fb63:a03e,QUIC,Threat,1292,Protected Payload (KP0)
1019,69.334632,2607:f8b0:400b:803::2004,2605:b100:10b:a167:e022:133f:fb63:a03e,QUIC,Threat,1292,Protected Payload (KP0)
1020,69.334632,2607:f8b0:400b:803::2004,2605:b100:10b:a167:e022:133f:fb63:a03e,QUIC,Threat,1292,Protected Payload (KP0)
1021,69.334632,2607:f8b0:400b:803::2004,2605:b100:10b:a167:e022:133f:fb63:a03e,QUIC,Threat,1292,Protected Payload (KP0)
1022,69.33487,2607:f8b0:400b:803::2004,2605:b100:10b:a167:e022:133f:fb63:a03e,QUIC,Threat,1292,Protected Payload (KP0)
1023,69.334955,2605:b100:10b:a167:e022:133f:fb63:a03e,2607:f8b0:400b:803::2004,QUIC,Threat,94,"Protected Payload (KP0), DCID=e9ad21b0b4cbad9a"
1024,69.340856,2607:f8b0:400b:803::2004,2605:b100:10b:a167:e022:133f:fb63:a03e,QUIC,Threat,1292,Protected Payload (KP0)
1025,69.340856,2607:f8b0:400b:803::2004,2605:b100:10b:a167:e022:133f:fb63:a03e,QUIC,Threat,1292,Protected Payload (KP0)
1026,69.340856,2607:f8b0:400b:803::2004,2605:b100:10b:a167:e022:133f:fb63:a03e,QUIC,Threat,1292,Protected Payload (KP0)
1027,69.340856,2607:f8b0:400b:803::2004,2605:b100:10b:a167:e022:133f:fb63:a03e,QUIC,Threat,1292,Protected Payload (KP0)
1028,69.340856,2607:f8b0:400b:803::2004,2605:b100:10b:a167:e022:133f:fb63:a03e,QUIC,Threat,1292,Protected Payload (KP0)
1029,69.340856,2607:f8b0:400b:803::2004,2605:b100:10b:a167:e022:133f:fb63:a03e,QUIC,Threat,1292,Protected Payload (KP0)
1030,69.341262,2607:f8b0:400b:803::2004,2605:b100:10b:a167:e022:133f:fb63:a03e,QUIC,Threat,1292,Protected Payload (KP0)
